"id","cour_eau_id","lien","description"
"1","1","https://cdn.futura-sciences.com/buildsv6/images/largeoriginal/2/3/d/23ddd1e7eb_62818_gibraltar-jeff-schmaltz-nasa.jpg","Détroit de Gibraltar "
"2","1","https://img-4.linternaute.com/xDZRAqfCsg_BQ1R-ocRr8Vh15uM=/fit-in/630x420/smart/filters:fill(efefef)/80bd31113e8b4a33830c066536e4e97e/ccmcms-linternaute/10198032-30-sites-naturels-etonnants-et-meconnus-en-europe.jpg","Détroit de Gibraltar"
"3","2","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ1VSJFRwO6pIfHjyVJh-I8Cj9_pl7xukS0detHpKOM-h1r324Am4mkzi50cokHn5E2DdM&usqp=CAU","Canal de Corinthe"
"4","2","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQkB3JdtFMrlTWnkd-T-3vQPFYrmMddNufkUxJCrxBWltC04JdveV3k3f-Bp0vXs9jGHTs&usqp=CAU","Canal de Corinthe"
"5","3","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS6s9iEM9rEnf7tL5Xhk8mhrPPlXD_fygAs2j4yQDY14J_Zf3jksPNvnUA2EInWdIBfDd8&usqp=CAU","Détroit de Messine"
"6","3","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS21vQomRGvOXxOflri5BL9nMTI8MnmhOd7zypxB3GEpR8e0ooWFOsF7RpKQu8JS_IizUM&usqp=CAUved=2ahUKEwiy3ZXE06yCAxUlRuUKHUCIBnMQMygDegQIARA2","Détroit de Messine"
"7","4","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSJXJUCXwG8yuK72IyVczY1dOXfdzH0HCi9SBNqImVNcheRpIjjW-p7PTyAU0Sd_pnZ0AE&usqp=CAU","Detroit de Kiel"
"8","4","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQAh8ojEDqs86DpFlg5NBAcFArLnE_g7eRpbCU_z1ktoY9uBr0zNlTUbbzBCW_wpQfQLEA&usqp=CAU","Detroit de Kiel"
"9","5","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQEx6_XCPJRb5g7ur_s_ZeRVhbxW1E-Gg51unI59FUgW5TOtw_27oJelE2g3JWy2Iyy6qQ&usqp=CAUq=detroit%20de%20dover%20.jpg&ved=2ahUKEwjuho_J2qyCAxUznv0HHV7ADAAQMygAegQIARAw","Détroit de Dover"
"10","5","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSS8pKwAJ-HvMaVlKiBKUriOgzbZ-wXSVg9XZSniPucGZ81gfXLLtgWdDQADNEk7yBkWIA&usqp=CAU","Détroit de Dover"
"11","6","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRNA8gcpb6LynkTZuM_y3mjm7sMXqcR6ct_bTjd9YgB0FFf8hjipbrkzxx_ujuiEBLW0gY&usqp=CAU","Détroit du Bosphore"
"12","6","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT7V-y59LghQVc-GUA7kaDNbWySAhQETfL1Th0R82MNch1Jvq11H8xXGlCB71RxFqb5u14&usqp=CAU","Détroit du Bosphore"
"13","7","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSy7S1N_mGTx6FD5WEoOFjNk7jVt3uE9nrLYfrgN8-M7cr9F0RanHXbpR47lXxp-fFuwW0&usqp=CAU","Lac Balaton"
"14","7","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQx9PXfa2dgpMgQVmpbWyxwPtmeSlJN_sYJ4qwL5THdGYRyk1uAH7phc9CUkL-qbmN2E4A&usqp=CAU","Lac Balaton"
"15","8","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQZw3FcvXZz0nnOgi8__nJGCPf7Z9rUK-_fYmzzyS4asjxsr2Z3qt8vpAUCC3oZx5tGIRA&usqp=CAU","Lac de Constance"
"16","8","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS9RvNMyutqfWBobbWHuX1J4MeAJpQAyh5FWnIePfD5Q1SAYGhDB80qMm1r1QOqSvJIQkA&usqp=CAUvjHpK2CAxWB47sIHZpDCasQMygCegQIARA0","Lac de Constance"
"17","9","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRQEgyVZfI6paP0pKWTyMZtvyPJeEoz_Ha5D3DKx82HJ6jQzcIjxrwYNBuJjR_hfUMNP04&usqp=CAU","Canal d'Istrie"
"18","9","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQfBCl-ajbtUMmtNJu0TZ-CY4tk0KQyArjRc7hOzTRuSGL4VcniYLFeHeoJkTXA6OCBrJU&usqp=CAUq=Canal%20d%27Istrie.jpg&ved=2ahUKEwj2jNbapa2CAxVNjf0HHcTHDRgQMygCegQIARA0","Canal d'Istrie"
"19","10","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRXdp9GiRx2FFkWvGarVRF-D2Ab9T5MC2gOPxil1qDm_A_yHxTOV0M2nw1xsqaA0wqY6LA&usqp=CAU","Lac de Bled"
"20","10","https://encrypted-tbn2.gstatic.com/licensed-image?q=tbn:ANd9GcTptDkaZ9Uy_R7uS3anCRoXoC014jx1gjHCGDp48Vs2TqgGcsfM5ewVeWl_83IEaXNddhPOAEmeGdJ5BXaCwgX-_p1BYAH0z5UBmePBTw","Lac de Bled"
